date,estimated_index_usd,estimated_index_krw,daily_return,fx_rate
2025-12-01,5000.0,6302.374182054884,0.0,1471.68
2025-12-02,5051.661430322286,6353.516930484739,0.01033228606445721,1468.45
2025-12-03,5146.456583756739,6462.29492986577,0.018765143852565218,1466.08
2025-12-04,5244.391543240934,6623.674244929066,0.01902959014427464,1474.63
2025-12-05,5236.068908863617,6609.485352848923,-0.0015869590034793112,1473.81
2025-12-08,5224.414568046693,6575.9805863057145,-0.0022257806418850847,1469.61
2025-12-09,5248.650482414005,6606.598762995055,0.004638972281323596,1469.635
2025-12-10,5278.833935027353,6641.833414474252,0.0057507072940902165,1469.025
2025-12-11,5261.228159973937,6629.798173048798,-0.0033351636497964765,1471.27
2025-12-12,5109.042206844053,6453.953065620922,-0.028925936777970458,1474.91
2025-12-15,5057.2440882441615,6361.924354628779,-0.010138518435119438,1468.77
2025-12-16,5108.454764345702,6444.963495880578,0.010126202178095834,1473.025
2025-12-17,4928.524159629144,6227.772550369024,-0.03522211960696565,1475.35
2025-12-18,5040.219929402811,6369.819897075621,0.02266312716666733,1475.56
2025-12-19,5168.435107757866,6532.566255456198,0.02543840946445485,1475.72
2025-12-22,5244.3386839815,6645.661770271325,0.014685988048820141,1479.54
2025-12-23,5243.419449448793,6646.922007211766,-0.00017528130582321043,1480.08
2025-12-24,5252.3899171834455,6507.1405044772955,0.0017108049091122959,1446.48
2025-12-26,5196.498700515762,6419.604843145465,-0.01064110196480892,1442.37
2025-12-29,5134.777525754601,6314.02248597578,-0.01187745409327921,1435.7
2025-12-30,5110.803021186037,6296.360842846617,-0.004669044461676192,1438.4
2025-12-31,5064.963748522073,6249.518718863158,-0.008969093990502967,1440.62
2026-01-02,5163.550013672721,6379.387460792274,0.01946435750491117,1442.48
2026-01-05,5280.604188011691,6535.175084336131,0.022669321305888033,1444.95
2026-01-06,5334.612487914871,6611.289850425726,0.010227674330485161,1446.98
2026-01-07,5320.844395339196,6602.110798564398,-0.0025808983514483694,1448.71
2026-01-08,5294.844055159188,6584.497479742225,-0.004886506397891074,1451.94
2026-01-09,5387.577195520391,6724.25062053698,0.017513856762380976,1457.235
2026-01-12,5421.40025556336,6811.482644912091,0.006277972234178199,1466.93
2026-01-13,5421.4819418937095,6849.661393800463,1.5067386007099206e-05,1475.13
2026-01-14,5396.207897887138,6761.436109676581,-0.004661833107156646,1462.95
2026-01-15,5378.012435548681,6771.318211326324,-0.003371897948109225,1470.045
2026-01-16,5415.599567228526,6835.039921097513,0.006989037703110111,1473.58
2026-01-20,5262.2256818452615,6674.277573073225,-0.028320758113538826,1480.86
2026-01-21,5354.17391875549,6718.718774064753,0.017473259884586756,1465.12
2026-01-22,5423.979359033247,6801.7154569712475,0.013037574299413521,1464.13
2026-01-23,5402.729289274433,6692.839369998089,-0.003917800631638478,1446.36
2026-01-26,5331.69229325866,6602.5562875834785,-0.013148353769417295,1445.86
2026-01-27,5400.34065899633,6623.229475701287,0.012875530312292775,1431.95
2026-01-28,5468.851967177213,6699.877635882615,0.012686478966238986,1430.375
2026-01-29,5357.107213998871,6569.0359491127765,-0.0204329453144842,1431.695
2026-01-30,5283.9829123400505,6565.831656808168,-0.013649960461447603,1450.8
2026-02-02,5247.967529572318,6537.575227600338,-0.006815953678355579,1454.47
2026-02-03,5231.31014889611,6498.767936863951,-0.0031740632125376615,1450.44
2026-02-04,5030.379535062556,6299.477993255734,-0.03840923365554111,1462.12
2026-02-05,4862.803042544016,6129.5658173819365,-0.03331289246676229,1471.71
2026-02-06,5128.349024572673,6428.488898560744,0.05460759559978705,1463.56
2026-02-09,5217.443377357858,6513.805297748686,0.01737291131283867,1457.66
2026-02-10,5164.3218954762215,6442.619394356474,-0.01018151574239737,1456.56
2026-02-11,5160.304628286915,6391.465731147243,-0.000777888611634644,1446.12
2026-02-12,5020.2684810137725,6192.39255851245,-0.027137186147018377,1440.16
2026-02-13,5059.456775897316,6242.463816066531,0.007806015760262699,1440.56
2026-02-17,5048.192759035438,6246.077068099441,-0.0022263292999238613,1444.61
2026-02-18,5088.845521953783,6287.092644924366,0.008052933962472537,1442.48
2026-02-19,5096.986240330572,6327.861531872256,0.0015997181171387353,1449.515
2026-02-20,5105.338635150862,6323.670007601879,0.0016386928326780348,1446.185
2026-02-23,5026.735347476931,6217.762846300133,-0.015396292644083964,1444.2
2026-02-24,5106.492334986216,6304.2367407535,0.01586655791403807,1441.415
2026-02-25,5233.05350566513,6394.485170781275,0.024784365152533808,1426.69
2026-02-26,5199.358300186337,6377.581448515589,-0.006438918585929963,1432.14
2026-02-27,5115.960489325087,6308.849149106051,-0.016040019949819885,1439.8
2026-03-02,5173.391428297324,6441.039817863241,0.011225837082219876,1453.65
2026-03-03,5057.7170008276025,6414.891566896403,-0.022359496487547162,1480.86
2026-03-04,5184.622798371685,6493.522911469117,0.02509151807491747,1462.32
2026-03-05,5135.671467409564,6515.039735819723,-0.009441637871417666,1481.15
2026-03-06,5008.376307922404,6357.329764320669,-0.024786468584480564,1482.03
2026-03-09,5130.777167090859,6423.578680320552,0.02443922973096827,1461.75
2026-03-10,5136.7591152287605,6482.234870324224,0.0011658951350042577,1473.38
2026-03-11,5187.085036035667,6565.6458694676685,0.00979721253770834,1477.86
2026-03-12,5054.753128853399,6463.690449636956,-0.025511806007214557,1493.0
2026-03-13,5025.201537248577,6462.39988021857,-0.00584629770267843,1501.48
2026-03-16,5115.614477265879,6526.838112010619,0.017991903279327273,1489.65
2026-03-17,5160.8306918639455,6577.941863719424,0.008838862818730722,1488.16
2026-03-18,5073.745698955098,6555.072940261596,-0.01687422008362656,1508.44
2026-03-19,5039.492702122279,6429.738515519514,-0.006751027517968355,1489.655
2026-03-20,4895.120208012157,6312.179441889669,-0.028648219700630393,1505.55
2026-03-23,4992.559256899395,6359.445320194182,0.019905343433191676,1487.22
2026-03-24,4935.889210063456,6325.476711646123,-0.011350901195138591,1496.26
2026-03-25,4991.884933910849,6434.005928299257,0.011344607114200985,1504.86
2026-03-26,4786.785864786438,6180.745171337462,-0.041086497753811006,1507.565
2026-03-27,4658.893465387986,6018.961079223822,-0.026717802511134012,1508.405
2026-03-30,4555.79397890425,5921.818110516068,-0.022129608081765745,1517.645
2026-03-31,4800.570054376014,6195.274710363619,0.05372852165949717,1506.77
2026-04-01,4860.067002746967,6298.0317720941,0.012393725681956758,1513.01
2026-04-02,4842.505162564579,6263.785155976165,-0.003613497544881869,1510.24
2026-04-06,4857.8135783049165,6278.219362587965,0.003161259560171548,1508.95
2026-04-07,4838.761901464928,6202.621706659603,-0.003921862486669642,1496.65
2026-04-08,4985.521149029984,6313.715291862709,0.03032991714691013,1478.61
2026-04-09,4994.3077082298905,6307.539951510851,0.0017624153899368784,1474.565
2026-04-10,5043.37702233898,6414.197963480571,0.009825048230054246,1484.91
2026-04-13,5155.712243319402,6531.896525609384,0.022273809886282088,1479.21
2026-04-14,5335.888434408747,6729.340645081774,0.03494690599205016,1472.465
2026-04-15,5512.381505820176,6964.719061845454,0.033076604501942906,1475.175
2026-04-16,5546.883325943686,7029.285946960344,0.006258968122413549,1479.59
2026-04-17,5660.108428735981,7112.269756486044,0.020412382258469874,1467.11
2026-04-20,5643.033735524385,7115.052792069645,-0.0030166724589424567,1472.125
2026-04-21,5552.201328491538,7055.284507008793,-0.016096378524379926,1483.64
2026-04-22,5723.3317163866095,7248.674422704076,0.030822078986383783,1478.73
2026-04-23,5624.344111864162,7137.3233152064295,-0.017295451221014006,1481.64
2026-04-24,5716.536003393711,7263.911760110752,0.016391580901864922,1483.6
