date,index_usd,index_krw,gap_pct,daily_return,is_rebalance
2026-01-05,5094.239841341318,6304.53412136947,0.0,0.018847968268263723,Y
2026-01-06,5086.680782261769,6304.023226486978,0.0,-0.001483844364414292,N
2026-01-07,5086.8228656982,6311.736573508548,0.0,2.7932446031824078e-05,N
2026-01-08,5073.43793451065,6309.163961281128,0.0,-0.0026312949243442927,N
2026-01-09,5145.188755703379,6421.72491042637,0.0,0.014142445836316152,N
2026-01-12,5180.892951147303,6509.30769881335,0.0,0.006939336366298866,Y
2026-01-13,5177.082827243352,6540.880289622363,0.0,-0.0007354183805530698,N
2026-01-14,5136.914212142603,6436.54171661758,0.0,-0.007758928423816126,N
2026-01-15,5131.98743127925,6461.554406981145,0.0,-0.0009590934673791699,N
2026-01-16,5155.233626194304,6506.431504066089,0.0,0.004529667156503353,N
2026-01-19,5155.233626194304,6507.137966586381,0.0,0.0,N
2026-01-20,4992.318137246315,6331.943743124617,0.0,-0.031601960407807175,N
2026-01-21,5085.5568629139825,6381.642974230475,0.0,0.01867643910191514,N
2026-01-22,5175.9427588418,6490.6754869154865,0.0,0.01777305777208972,N
2026-01-23,5178.4062814283025,6414.950588583576,0.0,0.00047595630424884073,N
2026-01-26,5113.101755185238,6331.8624342664425,0.0,-0.012610931374247509,N
2026-01-27,5155.960796114466,6323.510622148849,0.0,0.008382199882050701,N
2026-01-28,5189.636331598489,6357.811219817559,0.0,0.0065313792745284064,N
2026-01-29,5094.631062613401,6247.180289825184,0.0,-0.018306729588472848,N
2026-01-30,5059.348840244643,6286.703293558299,0.0,-0.006925373385263208,N
2026-02-02,5030.764490165322,6266.997865643528,0.0,-0.005649808104146991,N
2026-02-03,4998.67120221957,6209.764516211033,0.0,-0.006379405756021994,N
2026-02-04,4805.553624841154,6017.931469006087,0.0,-0.03863378277264283,N
2026-02-05,4679.751828955898,5898.8296654499,0.0,-0.02617841890993628,N
2026-02-06,4872.458974363266,6107.72556144361,0.0,0.041178924107683326,N
2026-02-09,4946.092361213537,6175.032539010008,0.0,0.015112161485134654,N
2026-02-10,4926.767035362079,6146.263826293286,0.0,-0.003907190654789215,N
2026-02-11,4928.97138817025,6104.940306160508,0.0,0.00044742379583800245,N
2026-02-12,4800.5856638048945,5921.418556292831,0.0,-0.02604716364827901,N
2026-02-13,4816.126573526167,5942.237912191969,0.0,0.0032372945322998465,N
2026-02-16,4816.126573526167,5957.809598285241,0.0,0.0,N
2026-02-17,4787.256600637584,5923.223438493147,0.0,-0.0059944381543622135,N
2026-02-18,4827.339206281271,5964.010636092885,0.0,0.008372771503066877,N
2026-02-19,4824.243328002862,5989.253715089648,0.0,-0.0006413218848140759,N
2026-02-20,4853.074700031152,6011.206135071904,0.0,0.005976351122451774,N
2026-02-23,4766.633104550155,5896.032349165211,0.0,-0.017811717483030388,N
2026-02-24,4833.606433661954,5967.34456265789,0.0,0.014050447693963958,N
2026-02-25,4934.211568378248,6029.317810210664,0.0,0.02081367941247025,N
2026-02-26,4880.410781471615,5986.357443366302,0.0,-0.01090362384366008,N
2026-02-27,4820.119968301189,5944.027484977262,0.0,-0.012353634943869627,N
2026-03-02,4852.3212207519455,6041.297014753903,0.0,0.006680591492021583,N
2026-03-03,4747.859361124927,6021.887537698671,0.0,-0.0215282243022713,N
2026-03-04,4858.360882801362,6084.893526789277,0.0,0.023273966912586333,N
2026-03-05,4833.063707413816,6131.155838017725,0.0,-0.005206936248210586,N
2026-03-06,4731.229426148557,6005.536286302156,0.0,-0.021070337042950155,N
2026-03-09,4815.374084829648,6028.703508598906,0.0,0.017784945751317845,N
2026-03-10,4816.250382809936,6077.775008585858,0.0,0.0001819792117601794,N
2026-03-11,4865.745954641799,6158.905166781089,0.0,0.010276785444652445,N
2026-03-12,4748.523540000811,6072.103913478717,0.0,-0.024091355309900687,N
2026-03-13,4715.120676468697,6063.636466908955,0.0,-0.007034368314852768,N
2026-03-16,4789.487249605947,6110.743500441519,0.0,0.01577193421758718,N
2026-03-17,4830.027031357789,6156.302911186927,0.0,0.008464326062289326,N
2026-03-18,4750.814895302225,6137.859485310981,0.0,-0.016399936385717764,N
2026-03-19,4693.099222097133,5987.785400059187,0.0,-0.012148583869719553,N
2026-03-20,4559.844485058775,5879.846744047619,0.0,-0.02839376086721919,N
2026-03-23,4660.584842275524,5936.581408346471,0.0,0.022092937061087475,N
2026-03-24,4615.535986714482,5914.935314229171,0.0,-0.009665923287654981,N
2026-03-25,4651.61839197087,5995.438738344311,0.0,0.007817598077503818,N
2026-03-26,4468.866692537397,5770.244797128321,0.0,-0.039287766973516144,N
2026-03-27,4348.086012055689,5617.419816553207,0.0,-0.027027138823228134,N
2026-03-30,4265.770422717158,5544.832944931808,0.0,-0.018931453773062233,N
2026-03-31,4486.211358031647,5789.5857068941605,0.0,0.0516766992758311,N
2026-04-01,4567.7528118200635,5919.229574336115,0.0,0.018176016973081976,N
2026-04-02,4517.558286353434,5843.466054320472,0.0,-0.010988888307778106,N
2026-04-03,4517.558286353434,5845.845630827124,0.0,0.0,N
2026-04-06,4517.139033618953,5837.932906899277,0.0,-9.280516329957741e-05,N
2026-04-07,4506.53286556413,5776.750156948298,0.0,-0.0023479835302581318,N
2026-04-08,4602.06210807261,5828.098816007092,0.0,0.021197946483082254,N
2026-04-09,4618.561701749091,5832.993110195322,0.0,0.00358526097410542,N
2026-04-10,4656.221746152279,5921.811498406061,0.0,0.008154063285313505,N
2026-04-13,4728.297539732217,5990.394501136809,0.0,0.015479458992583359,N
2026-04-14,4908.363709627348,6190.169044585659,0.0,0.03808266471854248,N
2026-04-15,5108.853291893001,6454.873972102726,0.0,0.04084652118839728,N
2026-04-16,5116.350348795726,6483.693182855415,0.0,0.0014674637290174274,N
2026-04-17,5227.147567167208,6568.228157239613,0.0,0.021655518253858703,N
2026-04-20,5188.410323686356,6541.838147724122,0.0,-0.00741078054198597,N
2026-04-21,5126.281588919366,6514.060447929296,0.0,-0.011974522231473623,N
2026-04-22,5240.611652139739,6637.303152187978,0.0,0.022302727861750863,N
2026-04-23,5132.215953860738,6512.81000195127,0.0,-0.020683787594667893,N
