date,estimated_usd,official_usd,index_krw,gap_pct
2026-01-05,1854.7108414355473,1854.7108414355473,2295.3547829081967,0.0
2026-01-06,1851.9587392058652,1851.9587392058652,2295.1687762993793,0.0
2026-01-07,1852.010468943401,1852.010468943401,2297.9770516829926,0.0
2026-01-08,1847.1372831966378,1847.1372831966378,2297.0404150232334,0.0
2026-01-09,1873.2603221764864,1873.2603221764864,2338.021605388033,0.0
2026-01-12,1886.2197914479952,1886.2595056537104,2369.9087469839646,0.002105447611856357
2026-01-13,1885.0659771846263,1884.8723157427598,2381.4036958457104,0.010274512509358487
2026-01-14,1870.386488192332,1870.2477263568792,2343.416108186129,0.007419436125886692
2026-01-15,1869.3657548163753,1868.4539839801496,2352.5227284936955,0.04879814242379695
2026-01-16,1877.5827553178372,1876.9174586248223,2368.861582000382,0.03544624138678432
2026-01-19,1877.5827553178372,1876.9174586248223,2369.1187908747697,0.03544624138678432
2026-01-20,1818.6587366696128,1817.6031874086386,2305.334077996811,0.058073691127220266
2026-01-21,1853.083339453255,1851.549542649723,2323.4285740578316,0.08283855053302659
2026-01-22,1885.912474799991,1884.457239639123,2363.1251312761906,0.07722303962422741
2026-01-23,1886.6569197792999,1885.3541589424167,2335.555210291509,0.06909899822821407
2026-01-26,1863.180139092558,1861.5780870278418,2305.304475067727,0.08605881622048928
2026-01-27,1878.720986357767,1877.1822066493548,2302.263747311953,0.08197284754572869
2026-01-28,1890.8982041262545,1889.4427956083782,2314.751908911177,0.0770284509940772
2026-01-29,1857.0339176368345,1854.8532772762874,2274.4733999195537,0.11756403523998757
2026-01-30,1844.2165580412425,1842.00772575627,2288.862935118706,0.11991438765901932
2026-02-02,1834.1814238688285,1831.6007355793909,2281.688582923496,0.14089797188366235
2026-02-03,1822.0521393315942,1819.9162113041016,2260.8510650621133,0.1173640860071264
2026-02-04,1752.5400687099159,1749.6059637321678,2191.008489235737,0.16770090172127908
2026-02-05,1707.137303667999,1703.8040458862642,2147.6459045970005,0.1956362170745373
2026-02-06,1777.509164223514,1773.9648633861786,2223.7007224103904,0.19979543622808757
2026-02-09,1804.072038966058,1800.7733068706254,2248.205846802765,0.18318419552570384
2026-02-10,1797.0917335152837,1793.7373422346268,2237.731733876861,0.18700571157637133
2026-02-11,1798.35974646827,1794.539903005026,2222.6866666669193,0.2128592101433685
2026-02-12,1751.788830927849,1747.7972284780874,2155.870067975096,0.22837903532077847
2026-02-13,1757.0838156600153,1753.4553628894082,2163.4499790708537,0.20693157336083862
2026-02-16,1757.0838156600153,1753.4553628894082,2169.1193185436923,0.20693157336083862
2026-02-17,1746.5962136665426,1742.944383160133,2156.527189486587,0.20952077081131468
2026-02-18,1760.8621387979695,1757.5376582228864,2171.376992388699,0.18915558136287977
2026-02-19,1759.782033316391,1756.4105108592832,2180.5674925898406,0.19195526537007676
2026-02-20,1770.2579726619283,1766.9074367873432,2188.5599296569803,0.18962713070454992
2026-02-23,1739.3967631465728,1735.4357807046217,2146.627457684072,0.22824137233950587
2026-02-24,1763.7737159187398,1759.8194303676455,2172.590808372486,0.22469836864275053
2026-02-25,1798.6506557770351,1796.4477478151537,2195.1540283415,0.12262577436836944
2026-02-26,1778.046756790614,1776.8599573181868,2179.5130179808048,0.06679195327347678
2026-02-27,1756.1004148428497,1754.9092780590981,2164.1015267305233,0.06787455047641526
2026-03-02,1767.0185287664624,1766.6331100513696,2199.5154171316026,0.021816568075166198
2026-03-03,1728.3625710651352,1728.6006361983646,2192.4488147253332,0.013772130372053425
2026-03-04,1768.2139513691714,1768.832030210321,2215.3880352334413,0.03494276622049083
2026-03-05,1758.8172159521505,1759.621834595223,2232.2312175054944,0.0457267935219465
2026-03-06,1721.5633092618527,1722.5460094721673,2186.4956511168903,0.05704928663215551
2026-03-09,1752.0682602205598,1753.181396804779,2194.9303734106907,0.06349237941082655
2026-03-10,1752.2597520758384,1753.500439373442,2212.79632512594,0.07075488946253243
2026-03-11,1770.3910326135588,1771.5207871659866,2242.3341931216596,0.06377314681331804
2026-03-12,1727.429553017917,1728.8424504434959,2210.731592819332,0.08172505396408035
2026-03-13,1715.2108702401704,1716.6811358887237,2207.648764872213,0.08564582075355351
2026-03-16,1741.9927896537931,1743.7565178365337,2224.799493640749,0.10114532417225448
2026-03-17,1755.8806533522384,1758.5162415767445,2241.386763904937,0.14987568281672395
2026-03-18,1727.173266933366,1729.6766870816343,2234.6718814120222,0.14473341561261274
2026-03-19,1706.5097999625232,1708.6635647811245,2180.032908453549,0.12604967197724468
2026-03-20,1658.2424667241446,1660.148180120199,2140.7346025728575,0.1147917649083815
2026-03-23,1694.7495781839373,1696.8257293756733,2161.3905591507837,0.12235500415825919
2026-03-24,1679.8729921558493,1680.4243420430087,2153.509649204557,0.03281015832519359
2026-03-25,1693.1386499850212,1693.5612241487545,2182.8193358563967,0.024951809105437976
2026-03-26,1626.744862686156,1627.0249854190156,2100.830725738479,0.017216867311194983
2026-03-27,1583.0918941305601,1583.051155269235,2045.1902068106913,0.0025734393477717162
2026-03-30,1553.3056516085483,1553.0816955028627,2018.7627785907723,0.014420111081992279
2026-03-31,1633.496558014085,1633.339831232162,2107.872364166026,0.009595479086845413
2026-04-01,1663.6343412645538,1663.0274437274486,2155.0731034242926,0.036493537096711486
2026-04-02,1645.4241354367186,1644.7526208955578,2127.4891210569967,0.04082769242192764
2026-04-03,1645.4241354367186,1644.7526208955578,2128.355477271539,0.04082769242192764
2026-04-06,1645.2900062327979,1644.5999793599883,2125.4746127438884,0.041957125226164134
2026-04-07,1641.4491051506557,1640.7384856945882,2103.1991971417365,0.04331095188314554
2026-04-08,1676.864430422125,1675.5187723070756,2121.894216931862,0.08031292381144534
2026-04-09,1683.7738265267317,1681.5259443728091,2123.676131559913,0.13368108660143105
2026-04-10,1697.6216212177662,1695.2372133391214,2156.0131303396784,0.14065334691115547
2026-04-13,1723.0683170286438,1721.4785682657055,2180.9828299738892,0.09234786841058118
2026-04-14,1787.8382215154168,1787.0370594011247,2253.7167457527466,0.04483186904700063
2026-04-15,1860.1713756566946,1860.031306512404,2350.0905157631605,0.0075304724065813865
2026-04-16,1862.7907103799178,1862.760834989548,2360.5830140139997,0.0016038231966596062
2026-04-17,1903.417430382861,1903.0998862542372,2391.3605074877983,0.016685625957811704
2026-04-20,1889.3652945477659,1888.9964306477286,2381.752432823399,0.019526977079081013
2026-04-21,1867.5340176162886,1866.376600893763,2371.6391278820984,0.062014103797235175
2026-04-22,1908.5583162542866,1908.0018903110363,2416.5093316485995,0.029162756393268232
2026-04-23,1870.030007126219,1868.537184481618,2371.183865510419,0.0798925842631956
